T,m,r,d
282.406187420348,0,0,1578483966.35321
284.177475034496,0,0,1552618626.62843
285.959190785282,0,0,1527309460.03424
287.735533636999,0,0,1508394655.33437
289.508658899634,0,0,1484068191.97085
292.184547411499,0,0,1451301923.60973
293.977451922598,0,0,1428178940.05096
295.747767629496,0,0,1409118372.36744
297.561713649953,0,0,1385135488.11342
299.335500118271,0,0,1363455785.55587
301.132652364159,0,0,1345497382.04328
302.937266863057,0,0,1322982102.92824
304.729224539498,0,0,1302574263.01537
306.547079134608,0,0,1282548878.06888
308.325268629631,0,0,1264509041.56562
310.141787516132,0,0,1243786764.77073
311.934597513996,0,0,1223557920.4191
313.730959745101,0,0,1206593477.10662
282.766637578896,0.9258,0,1746591249.41929
284.889957998112,0.9258,0,1721283505.60246
287.037363427233,0.9258,0,1689252420.93995
289.221560396174,0.9258,0,1659884070.03142
291.356919296478,0.9258,0,1635254811.95227
293.523502951925,0.9258,0,1605799231.40646
295.69072727019,0.9258,0,1582287940.5855
297.876444616466,0.9258,0,1555156071.57207
300.047554036364,0.9258,0,1526933149.22426
302.216603679629,0.9258,0,1502541868.31141
304.386973639176,0.9258,0,1480353514.63251
306.559333190362,0.9258,0,1459824582.77191
308.764826462987,0.9258,0,1436490574.57919
310.964521749113,0.9258,0,1404211678.94029
313.179020323296,0.9258,0,1383458283.5636
282.55263655862,2.1474,0,2047361976.82818
284.674010399644,2.1474,0,2019959386.19712
286.819659464085,2.1474,0,1994928211.72331
288.960036342086,2.1474,0,1968238552.63819
291.123669384767,2.1474,0,1938334453.33385
293.280085362247,2.1474,0,1908915730.48316
295.466670326746,2.1474,0,1881096590.95626
297.601316071909,2.1474,0,1854177789.20972
299.771644780173,2.1474,0,1831125943.70265
301.924234225254,2.1474,0,1809798123.40336
304.105309954902,2.1474,0,1784893435.69003
306.305396725376,2.1474,0,1755556165.26406
308.446953544082,2.1474,0,1727860001.62957
310.603816426744,2.1474,0,1703835279.79013
312.810355108347,2.1474,0,1679470227.14952
314.949324320758,2.1474,0,1655407622.82978
314.228291680291,0,0.498,1669661813.14161
312.284198376223,0,0.498,1693028248.75076
310.309471498892,0,0.498,1719184029.05105
308.363173654947,0,0.498,1741157954.24708
306.405830686899,0,0.498,1768296815.54774
304.47229666645,0,0.498,1793530974.32758
302.506122944735,0,0.498,1821806069.77274
300.559645537866,0,0.498,1845564773.32465
298.613754711703,0,0.498,1874924799.04245
296.669093135372,0,0.498,1899618914.89785
294.733526397064,0,0.498,1927433273.18205
292.795891285443,0,0.498,1950298012.52836
290.830241152729,0,0.498,1979180828.31868
288.90742209046,0,0.498,2005696766.54359
286.957374422346,0,0.498,2032748125.93517
285.036243645985,0,0.498,2060232738.60325
283.117599671989,0,0.498,2085187760.66488
282.761122161386,0.8693,0.5029,2245658829.29936
284.895776087175,0.8693,0.5029,2218614789.03401
287.035999370522,0.8693,0.5029,2188824373.32941
289.182196268878,0.8693,0.5029,2159558635.55299
291.344149013917,0.8693,0.5029,2130786643.47988
293.481207683818,0.8693,0.5029,2099591214.32789
295.6271921144,0.8693,0.5029,2071918115.1888
297.800842931273,0.8693,0.5029,2041814239.23599
299.992690719171,0.8693,0.5029,2017887728.16609
302.157164460527,0.8693,0.5029,1988850214.94291
304.295286955201,0.8693,0.5029,1960422859.49749
306.463919788018,0.8693,0.5029,1935139103.31279
308.632343673971,0.8693,0.5029,1907687442.33037
310.801134512646,0.8693,0.5029,1883307820.94506
312.98099826593,0.8693,0.5029,1856819343.61564
315.15864241813,0.8693,0.5029,1830834282.88813
313.529989292018,1.9772,0.5095,2092246424.596
311.888034624176,1.9772,0.5095,2115138295.6878
310.275425654429,1.9772,0.5095,2132472147.67491
308.639210988447,1.9772,0.5095,2152992752.9059
307.016263044912,1.9772,0.5095,2173757136.5446
305.37874766946,1.9772,0.5095,2194819368.18893
303.762888784646,1.9772,0.5095,2213037849.14465
302.140579269584,1.9772,0.5095,2234587042.81151
300.520522611323,1.9772,0.5095,2256417168.34355
298.902252698132,1.9772,0.5095,2275328105.17781
297.275835303827,1.9772,0.5095,2297709786.68075
295.665919629215,1.9772,0.5095,2320359840.58642
294.049037217846,1.9772,0.5095,2339990515.81473
292.435473898994,1.9772,0.5095,2359836697.33355
290.813871501831,1.9772,0.5095,2383341626.27939
289.206699413766,1.9772,0.5095,2403670468.37936
287.595111737704,1.9772,0.5095,2427749749.68342
285.994183674757,1.9772,0.5095,2448577155.01488
284.374131675,1.9772,0.5095,2469682313.82988
282.761632696877,1.9772,0.5095,2494664655.80266
314.095276585829,0,1,2280231668.94946
312.782561728574,0,1,2299855960.61694
311.473070370656,0,1,2316262168.00462
310.164004717109,0,1,2332822340.04854
308.839353824217,0,1,2353082980.11891
307.55182216478,0,1,2366402204.58768
306.259237303612,0,1,2386985805.49418
304.948353702952,0,1,2400605578.68809
303.643103409592,0,1,2421617205.88775
302.283622336719,0,1,2439294834.11392
300.99315023651,0,1,2456991500.24289
299.731227394129,0,1,2474795971.18104
298.411398644071,0,1,2492901449.1713
297.143570313594,0,1,2511066625.03334
295.820478066143,0,1,2529532998.58044
294.512169562859,0,1,2548146485.38164
293.227415279586,0,1,2566888775.33396
291.926066093988,0,1,2585853253.92744
290.632002923092,0,1,2604987891.9432
289.325136631508,0,1,2624341415.19179
288.023210798549,0,1,2639732984.89859
286.72813956294,0,1,2659401123.04797
285.442841855307,0,1,2679242206.77761
284.157849778828,0,1,2699280849.61364
282.900422859259,0,1,2715142948.57765
282.75864403375,0.7969,1,2835737831.2482
284.361959288186,0.7969,1,2809804813.41875
285.95466759465,0.7969,1,2788587056.35141
287.557803391053,0.7969,1,2763230042.69011
289.155498679028,0.7969,1,2738194768.87106
290.747083678764,0.7969,1,2713477529.96775
292.388369864334,0.7969,1,2688950878.43613
293.986059264963,0.7969,1,2664815543.7244
295.58699577986,0.7969,1,2640963597.23223
297.208706413752,0.7969,1,2617353128.00852
298.822788032487,0.7969,1,2594041080.62901
