Sample,T/K,mLiPF6/molkg-1,rPC,wLiPF6,wEMC,wPC,d/kgm-3
s01000,283.15,0,0,0,1,0,1025.2
s01000,293.15,0,0,0,1,0,1013.1
s01000,298.15,0,0,0,1,0,1007.1
s01000,303.15,0,0,0,1,0,1001
s01000,313.15,0,0,0,1,0,988.9
s01100,283.15,0.9258,0,0.12332,0.87668,0,1121.1
s01100,293.15,0.9258,0,0.12332,0.87668,0,1109.5
s01100,298.15,0.9258,0,0.12332,0.87668,0,1103.7
s01100,303.15,0.9258,0,0.12332,0.87668,0,1097.9
s01100,313.15,0.9258,0,0.12332,0.87668,0,1086.1
s01200,283.15,2.1474,0,0.246,0.754,0,1227.2
s01200,293.15,2.1474,0,0.246,0.754,0,1216
s01200,298.15,2.1474,0,0.246,0.754,0,1210.5
s01200,303.15,2.1474,0,0.246,0.754,0,1204.4
s01200,313.15,2.1474,0,0.246,0.754,0,1193.7
s11000,283.15,0,0.498,0,0.50205,0.49795,1117.1
s11000,293.15,0,0.498,0,0.50205,0.49795,1106
s11000,298.15,0,0.498,0,0.50205,0.49795,1100.4
s11000,303.15,0,0.498,0,0.50205,0.49795,1094.9
s11000,313.15,0,0.498,0,0.50205,0.49795,1083.7
s11100,283.15,0.8693,0.5029,0.11666,0.43907,0.44427,1185.3
s11100,293.15,0.8693,0.5029,0.11666,0.43907,0.44427,1174.7
s11100,298.15,0.8693,0.5029,0.11666,0.43907,0.44427,1169.4
s11100,303.15,0.8693,0.5029,0.11666,0.43907,0.44427,1164.1
s11100,313.15,0.8693,0.5029,0.11666,0.43907,0.44427,1153.4
s11200,283.15,1.9772,0.5095,0.23101,0.3772,0.3918,1311.1
s11200,293.15,1.9772,0.5095,0.23101,0.3772,0.3918,1300.4
s11200,298.15,1.9772,0.5095,0.23101,0.3772,0.3918,1295.2
s11200,303.15,1.9772,0.5095,0.23101,0.3772,0.3918,1289.9
s11200,313.15,1.9772,0.5095,0.23101,0.3772,0.3918,1279.4
s10000,283.15,0,1,0,0,1,1216.1
s10000,293.15,0,1,0,0,1,1205.4
s10000,298.15,0,1,0,0,1,1200
s10000,303.15,0,1,0,0,1,1194.7
s10000,313.15,0,1,0,0,1,1184
s10100,283.15,0.7969,1,0.108,0,0.892,1278.1
s10100,293.15,0.7969,1,0.108,0,0.892,1267.7
s10100,298.15,0.7969,1,0.108,0,0.892,1262.5
s10100,303.15,0.7969,1,0.108,0,0.892,1257.3
s10100,313.15,0.7969,1,0.108,0,0.892,1247.1
s10200,283.15,1.8134,1,0.216,0,0.784,1357.2
s10200,293.15,1.8134,1,0.216,0,0.784,1346.7
s10200,298.15,1.8134,1,0.216,0,0.784,1341.5
s10200,303.15,1.8134,1,0.216,0,0.784,1336.4
s10200,313.15,1.8134,1,0.216,0,0.784,1326.2
